movie_id,movie_name,genre
1,Toy Story,Animation
1,Toy Story,Adventure
1,Toy Story,Comedy
1,Toy Story,Family
1,Toy Story,Fantasy
2,Batman Forever,Action
2,Batman Forever,Adventure
2,Batman Forever,Fantasy
3,Apollo 13,Adventure
3,Apollo 13,Drama
3,Apollo 13,History
4,Pocahontas,Animation
4,Pocahontas,Adventure
4,Pocahontas,Drama
4,Pocahontas,Family
4,Pocahontas,History
4,Pocahontas,Musical
4,Pocahontas,Romance
5,Ace Ventura: When Nature Calls,Adventure
5,Ace Ventura: When Nature Calls,Comedy
6,GoldenEye,Action
6,GoldenEye,Adventure
6,GoldenEye,Sci-Fi
6,GoldenEye,Thriller
7,Jumanji,Adventure
7,Jumanji,Family
7,Jumanji,Fantasy
7,Jumanji,Thriller
8,Casper,Comedy
8,Casper,Family
8,Casper,Fantasy
9,Seven,Drama
9,Seven,Mystery
9,Seven,Thriller
10,Die Hard: With A Vengeance,Action
10,Die Hard: With A Vengeance,Adventure
10,Die Hard: With A Vengeance,Thriller
11,Crimson Tide,Action
11,Crimson Tide,Drama
11,Crimson Tide,Thriller
12,Waterworld,Action
12,Waterworld,Adventure
12,Waterworld,Sci-Fi
12,Waterworld,Thriller
13,Dangerous Minds,Biography
13,Dangerous Minds,Drama
14,Mr. Holland's Opus,Drama
14,Mr. Holland's Opus,Music
15,While You Were Sleeping,Comedy
15,While You Were Sleeping,Drama
15,While You Were Sleeping,Romance
16,Congo,Action
16,Congo,Adventure
16,Congo,Mystery
16,Congo,Sci-Fi
17,Father of the Bride Part II,Comedy
18,Braveheart,Biography
18,Braveheart,Drama
18,Braveheart,History
18,Braveheart,War
19,Get Shorty,Comedy
19,Get Shorty,Crime
19,Get Shorty,Thriller
20,Grumpier Old Men,Comedy
20,Grumpier Old Men,Romance
21,The Bridges of Madison County,Drama
21,The Bridges of Madison County,Romance
22,Mortal Kombat,Action
22,Mortal Kombat,Adventure
22,Mortal Kombat,Fantasy
22,Mortal Kombat,Sci-Fi
22,Mortal Kombat,Thriller
23,Nine Months,Comedy
23,Nine Months,Romance
24,Outbreak,Action
24,Outbreak,Drama
24,Outbreak,Thriller
25,Heat,Action
25,Heat,Crime
25,Heat,Drama
25,Heat,Thriller
26,Waiting to Exhale,Comedy
26,Waiting to Exhale,Drama
26,Waiting to Exhale,Romance
27,Bad Boys,Action
27,Bad Boys,Comedy
27,Bad Boys,Crime
27,Bad Boys,Drama
27,Bad Boys,Thriller
28,Babe,Comedy
28,Babe,Drama
28,Babe,Family
29,The American President,Comedy
29,The American President,Drama
29,The American President,Romance
30,Species,Horror
30,Species,Sci-Fi
31,12 Monkeys,Mystery
31,12 Monkeys,Sci-Fi
31,12 Monkeys,Thriller
32,Clueless,Comedy
32,Clueless,Romance
33,Sabrina,Comedy
33,Sabrina,Drama
34,Something to Talk About,Comedy
34,Something to Talk About,Drama
34,Something to Talk About,Romance
35,The Net,Action
35,The Net,Crime
35,The Net,Drama
35,The Net,Mystery
35,The Net,Thriller
36,Under Siege 2: Dark Territory,Action
36,Under Siege 2: Dark Territory,Thriller
37,A Walk in the Clouds,Drama
37,A Walk in the Clouds,Romance
38,The Brady Bunch Movie,Comedy
39,Sense and Sensibility,Drama
39,Sense and Sensibility,Romance
40,Casino,Biography
40,Casino,Crime
40,Casino,Drama
41,Man of the House,Comedy
42,Dead Man Walking,Crime
42,Dead Man Walking,Drama
43,French Kiss,Comedy
43,French Kiss,Drama
43,French Kiss,Romance
44,Higher Learning,Crime
44,Higher Learning,Drama
44,Higher Learning,Romance
44,Higher Learning,Sport
44,Higher Learning,Thriller
45,Mighty Morphin' Power Rangers,Action
45,Mighty Morphin' Power Rangers,Adventure
45,Mighty Morphin' Power Rangers,Family
45,Mighty Morphin' Power Rangers,Sci-Fi
45,Mighty Morphin' Power Rangers,Thriller
46,First Knight,Action
46,First Knight,Adventure
46,First Knight,Romance
46,First Knight,Thriller
47,Just Cause,Action
47,Just Cause,Crime
47,Just Cause,Drama
47,Just Cause,Mystery
47,Just Cause,Thriller
48,"To Wong Foo, Thanks for Everything, Julie Newmar",Comedy
48,"To Wong Foo, Thanks for Everything, Julie Newmar",Drama
