movie_imdb_id,movie_name,role,order,name,imdb_id,img,gender,races,note,reference_url,voice,img_movie
477347,Night at the Museum,cast,5,Bill Cobbs,167850,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/167850.jpg,m,b,,https://en.wikipedia.org/wiki/Bill_Cobbs,0,"http://2.bp.blogspot.com/-KX0ztJfcKps/VTrknpUsu-I/AAAAAAAAALo/lvPXZAtaBlI/s1600/free%2Bdownload%2Bbluray%2B1080p%2Bgoogle%2Bdrive%2Bmovie%2BNight%2BAt%2BThe%2BMuseum,%2BUSA,%2B2006,%2BShawn%2BLevy,%2BAction,%2BAdventure,%2BComedy,%2BBen%2BStiller,%2BBill%2BCobbs,%2BCarla%2BGugino,Owen%2BWilson,%2BRicky%2BGervais,%2BRobin%2BWilliams%2B7.jpg"
383574,Pirates of the Caribbean: Dead Man's Chest,cast,1,Johnny Depp,136,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/136.jpg,m,w,"English, as well as Irish, Scots-Irish, Scottish, Welsh, French, Dutch, Belgian (Flemish), and German",http://www.imdb.com/name/nm0000136/bio,0,http://www.superiorpics.com/movie_pictures/mp/2006_Pirates_of_the_Caribbean:_Dead_Man's_Chest/2006_potc_dead_man_chest_025.jpg
383574,Pirates of the Caribbean: Dead Man's Chest,cast,2,Orlando Bloom,89217,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/89217.jpg,m,w,mother of English descent,https://en.wikipedia.org/wiki/Orlando_Bloom#Early_life,0,http://images2.alphacoders.com/641/641143.jpg
383574,Pirates of the Caribbean: Dead Man's Chest,cast,3,Keira Knightley,461136,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/461136.jpg,f,w,"Her father is English, while her Scottish-born mother is of Scottish and Welsh origin",http://www.imdb.com/name/nm0461136/bio,0,http://www.superiorpics.com/movie_pictures/mp/2006_Pirates_of_the_Caribbean:_Dead_Man's_Chest/2006_potc_dead_man_chest_019.jpg
383574,Pirates of the Caribbean: Dead Man's Chest,cast,4,Jack Davenport,202603,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/202603.jpg,m,w,"English, Irish",http://www.imdb.com/name/nm0202603/bio,0,http://www.superiorpics.com/movie_pictures/mp/2006_Pirates_of_the_Caribbean:_Dead_Man's_Chest/2006_potc_dead_man_chest_018.jpg
383574,Pirates of the Caribbean: Dead Man's Chest,cast,5,Bill Nighy,631490,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/631490.jpg,m,w,"English, Scottish, Irish",http://www.imdb.com/name/nm0631490/bio,0,https://cinematographicblog.files.wordpress.com/2013/07/ein-ungemc3bctlicher-zeitgenosse-davy-jones-bill-nighy.jpg
416449,300,cast,1,Gerard Butler,124930,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/124930.jpg,m,w,Irish,http://www.imdb.com/name/nm0124930/bio,0,http://www.movpins.com/big/MV5BMTc0MjQzOTEwMV5BMl5BanBnXkFtZTcwMzE2NTIyMw/still-of-gerard-butler-in-300-(2006)-large-picture.jpg
416449,300,cast,2,Lena Headey,372176,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/372176.jpg,f,w,possibly English,,0,http://cdn.collider.com/wp-content/uploads/300-rise-of-an-empire-lena-headey.jpg
416449,300,cast,3,Dominic West,922035,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/922035.jpg,m,w,"English, Irish",http://www.imdb.com/name/nm0922035/bio,0,http://quientehavistoyquientv.es/wp-content/uploads/2015/01/1.jpg
416449,300,cast,4,David Wenham,920992,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/920992.jpg,m,w,,,0,http://media3.popsugar-assets.com/files/2014/03/07/240/n/1922283/89fb7f89cd5127bb_300ROAE-FP-0144.jpg.xxxlarge_2x/i/David-Wenham-300-Rise-Empire.jpg
416449,300,cast,5,Vincent Regan,716490,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/716490.jpg,m,w,Irish,https://en.wikipedia.org/wiki/Vincent_Regan,0,http://www.hotflick.net/flicks/2006_300/fhd006300_Vincent_Regan_005.jpg
952640,Alvin and the Chipmunks,cast,1,Jason Lee,5134,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/5134.jpg,m,w,,,0,http://www.superiorpics.com/movie_pictures/mp/2007_Alvin_and_the_Chipmunks/2007_alvin_and_the_chipmunks_002.jpg
952640,Alvin and the Chipmunks,cast,2,David Cross,189144,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/189144.jpg,m,w,possibly English ancenstry,,0,http://i1.wp.com/www.doblu.com/wp-content/uploads/2010/03/alvin2chipmunks10749.jpg
952640,Alvin and the Chipmunks,cast,3,Cameron Richardson,724460,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/724460.jpg,f,w,,,0,http://vignette3.wikia.nocookie.net/alvin/images/a/ab/20111001aatc2007whd4fun.png/revision/latest?cb=20121127013009
952640,Alvin and the Chipmunks,cast,4,Jane Lynch,528331,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/528331.jpg,f,w,Her paternal grandparents were Irish. Her mother was of half Irish and half Swedish ancestry.,http://www.imdb.com/name/nm0528331/bio,0,http://vignette2.wikia.nocookie.net/alvin/images/d/dd/Gail_Dave's_Boss.jpg/revision/latest?cb=20121126013137
952640,Alvin and the Chipmunks,cast,5,Justin Long,519043,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/519043.jpg,m,w,Sicilian (from one grandmother) and Polish ancestry,http://www.imdb.com/name/nm0519043/bio,1,http://www.movpins.com/big/MV5BMjEzODIwMzc0NV5BMl5BanBnXkFtZTgwNjA1NjY0NzE@._V1_/still-of-justin-long-in-alvin-and-the-chipmunks:-the-road-chip-(2015)-large-picture.jpg
465234,National Treasure: Book of Secrets,cast,1,Nicolas Cage,115,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/115.jpg,m,w,"He is of Italian (father) and German, English, and Polish (mother) descent",http://www.imdb.com/name/nm0000115/bio,0,http://lonelyreviewer.com/wp-content/uploads/2008/09/nicolas-cage-as-benjamin-gates-in-national-treasure-book-of-secrets.jpg
465234,National Treasure: Book of Secrets,cast,2,Justin Bartha,58581,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/58581.jpg,m,w,"His parents are both from Jewish families (their families moved to the U.S. from Austria, Germany, Russia, and Poland)",http://www.imdb.com/name/nm0058581/bio,0,https://jabrody.files.wordpress.com/2013/12/still-of-justin-bartha-in-national-treasure-book-of-secrets.jpg
465234,National Treasure: Book of Secrets,cast,3,Diane Kruger,1208167,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1208167.jpg,f,w,"German, Polish",https://en.wikipedia.org/wiki/Diane_Kruger#Early_life,0,https://khfilm.files.wordpress.com/2014/12/2007_national_treasure_book_of_secrets_004.jpg
465234,National Treasure: Book of Secrets,cast,4,Jon Voight,685,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/685.jpg,m,w,"Slovak, German",http://www.imdb.com/name/nm0000685/bio,0,http://www.superiorpics.com/movie_pictures/mp/2007_National_Treasure:_Book_of_Secrets/2007_national_treasure_book_of_secrets_007.jpg
465234,National Treasure: Book of Secrets,cast,5,Helen Mirren,545,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/545.jpg,f,w,"English, Russian",http://www.imdb.com/name/nm0000545/bio,0,http://www.superiorpics.com/movie_pictures/mp/2007_National_Treasure:_Book_of_Secrets/2007_national_treasure_book_of_secrets_011.jpg
440963,The Bourne Ultimatum,cast,1,Matt Damon,354,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/354.jpg,m,w," His father is of English and Scottish descent, and his mother is of Finnish and Swedish ancestry",http://www.imdb.com/name/nm0000354/bio,0,http://spinoff.comicbookresources.com/wp-content/uploads/2013/08/bourne-ultimatum.jpg
440963,The Bourne Ultimatum,cast,2,Julia Stiles,5466,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/5466.jpg,f,w,"Irish, English, and German ancestry",http://www.imdb.com/name/nm0005466/bio,0,http://vignette1.wikia.nocookie.net/bourne/images/3/33/SIPA_ultimatum_070802_ssv-1-.jpg/revision/latest?cb=20100831144230
440963,The Bourne Ultimatum,cast,3,David Strathairn,657,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/657.jpg,m,"w,w,w,w,w,w,w,a","English, Scottish, Irish, Portuguese, Native Hawaiian, and 1/16th Chinese",http://www.imdb.com/name/nm0000657/bio,0,http://static.tvgcdn.net/rovi/showcards/feed/579/thumbs/31295579_1300x1733.jpg
440963,The Bourne Ultimatum,cast,4,Scott Glenn,1277,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1277.jpg,m,"w,o",He has Irish and Native American ancestry,https://en.wikipedia.org/wiki/Scott_Glenn#Early_life,0,http://www.hotflick.net/flicks/2007_The_Bourne_Ultimatum/007TBU_Scott_Glenn_001.jpg
440963,The Bourne Ultimatum,cast,5,Paddy Considine,175916,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/175916.jpg,m,w,probably English,,0,http://www.kino.de/wp-content/gallery/das-bourne-ultimatum-2007/bourne-ultimatum-das-paddy-considine-28-rcm0x1920u.jpg
480249,I Am Legend,cast,1,Will Smith,226,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/226.jpg,m,b,,,0,http://goodfilmguide.co.uk/wp-content/uploads/2012/02/Will-Smith-I-Am-Legend.jpg
480249,I Am Legend,cast,2,Alice Braga,103797,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/103797.jpg,f,h,Brazilian; identifies as Latina; possibly some African and native based on ethnicity of aunt Sonia Braga,http://www.latina.com/entertainment/celebrity/cover-exclusive-alice-braga-hollywoods-next-screen-goddess,0,http://www.superiorpics.com/movie_pictures/mp/2007_I_Am_Legend/2007_i_am_legend_021.jpg
480249,I Am Legend,cast,3,Charlie Tahan,2253071,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/2253071.jpg,m,w,,,0,http://www.hdwallwide.com/wp-content/uploads/2014/05/hd-wallpaper-charlie-tahan-young-actor-1080p.jpg
480249,I Am Legend,cast,4,Salli Richardson-Whitfield,724757,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/724757.jpg,f,"w,w,b,o",Her mother is African American/Native American (Cherokee) and her father is Caucasian (English/Italian),http://www.imdb.com/name/nm0724757/bio,0,https://s-media-cache-ak0.pinimg.com/736x/e1/1f/2c/e11f2c637a26c3f3e63a13d91b9fa539.jpg
480249,I Am Legend,cast,5,Willow Smith,2405238,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/2405238.jpg,f,b,,,0,http://assets.nydailynews.com/polopoly_fs/1.1359733!/img/httpImage/image.jpg_gen/derivatives/gallery_1200/jaden-smith-pursuit-happyness-willow-smith-legend.jpg
373889,Harry Potter and the Order of the Phoenix,cast,1,Daniel Radcliffe,705356,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/705356.jpg,m,w,"His father is from a Northern Irish Protestant background, while his mother was born in South Africa, to a Jewish family (from Lithuania, Poland, Russia, and Germany)",http://www.imdb.com/name/nm0705356/bio,0,https://latimesherocomplex.files.wordpress.com/2011/07/5bridge.jpg
