movie_id,movie_name,role,order,name,imdb_id,img,gender,races,note,reference_url,voice,img_movie
8,The Twilight Saga: Breaking Dawn Part 1,cast,5,Peter Facinelli,4906,http://s3.amazonaws.com/brianfoo_art/hollywood/4906.jpg,m,w,Italian,http://www.imdb.com/name/nm0004906/bio,0,https://cbsksfm2.files.wordpress.com/2011/11/tsbd1-dg-212953r_rgb1.jpg
9,Transformers: Dark of the Moon,cast,1,Shia LaBeouf,479471,http://s3.amazonaws.com/brianfoo_art/hollywood/479471.jpg,m,w,"His mother is from an Ashkenazi Jewish family, while his father has Cajun (French) ancestry",http://www.imdb.com/name/nm0479471/bio,0,https://joediliberto.files.wordpress.com/2011/07/transformers3021.jpg
9,Transformers: Dark of the Moon,cast,2,Rosie Huntington-Whiteley,2492819,http://s3.amazonaws.com/brianfoo_art/hollywood/2492819.jpg,f,w,Ashkenazi Jewish and English,http://www.imdb.com/name/nm2492819/bio,0,https://oneirosia.files.wordpress.com/2011/07/rosie-huntington-whiteley-stars-as-carly-in-transformers-dark-of-the-moon.jpg
9,Transformers: Dark of the Moon,cast,3,Josh Duhamel,241049,http://s3.amazonaws.com/brianfoo_art/hollywood/241049.jpg,m,w,"French-Canadian (from his great-great-grandfather; his last name is a very common last name among Francophones in the world), Norwegian, German, Irish, and English",http://www.imdb.com/name/nm0241049/bio,0,http://www.superiorpics.com/movie_pictures/mp/2011_Transformers:_Dark_of_the_Moon/2011_transformer_dark_of_the_moon_017.jpg
9,Transformers: Dark of the Moon,cast,4,John Turturro,1806,http://s3.amazonaws.com/brianfoo_art/hollywood/1806.jpg,m,w,"The Turturro family originates from Sicily, Italy",http://www.imdb.com/name/nm0001806/bio,0,http://www.hotflick.net/flicks/2007_Transformers/big/fhd007TFS_John_Turturro_001.jpg
9,Transformers: Dark of the Moon,cast,5,Tyrese Gibson,879085,http://s3.amazonaws.com/brianfoo_art/hollywood/879085.jpg,m,b,,http://www.imdb.com/name/nm0879085/awards,0,http://i0.wp.com/bitcast-a-sm.bitgravity.com/slashfilm/wp/wp-content/images/Tyrese-Gibson-in-Transformers-Revenge-of-the-Fallen.jpg
10,Harry Potter and the Deathly Hallows Part 2,cast,1,Daniel Radcliffe,705356,http://s3.amazonaws.com/brianfoo_art/hollywood/705356.jpg,m,w,"His father is from a Northern Irish Protestant background, while his mother was born in South Africa, to a Jewish family (from Lithuania, Poland, Russia, and Germany)",http://www.imdb.com/name/nm0705356/bio,0,https://usatlife.files.wordpress.com/2014/07/3mw-harry-potter.jpg?w=1200
10,Harry Potter and the Deathly Hallows Part 2,cast,2,Rupert Grint,342488,http://s3.amazonaws.com/brianfoo_art/hollywood/342488.jpg,m,w,English and 1/8th Irish,http://www.imdb.com/name/nm0342488/bio,0,http://cdn.collider.com/wp-content/uploads/harry_potter_and_the_deathly_hallows_movie_image_rupert_grint_emma_watson_01.jpg
10,Harry Potter and the Deathly Hallows Part 2,cast,3,Emma Watson,914612,http://s3.amazonaws.com/brianfoo_art/hollywood/0914612.jpg,f,w,English,http://www.imdb.com/name/nm0914612/bio,0,http://emertainmentmonthly.com/wp-content/uploads/2014/02/Hermoine.jpg
10,Harry Potter and the Deathly Hallows Part 2,cast,4,Helena Bonham Carter,307,http://s3.amazonaws.com/brianfoo_art/hollywood/307.jpg,f,"w,h","Father was of English ancestry; maternal grandfather was a half-Jewish/half-Catholic Spanish; maternal grandmother from a Jewish family (from Germany, Austria, France, Bohemia, and Ukraine)",http://www.imdb.com/name/nm0000307/bio,0,http://www.superiorpics.com/movie_pictures/mp/2011_Harry_Potter_and_the_Deathly_Hallows:_Part_II/2010_harry_potter_and_the_deathly_hallows_p2_073.jpg
10,Harry Potter and the Deathly Hallows Part 2,cast,5,Ralph Fiennes,146,http://s3.amazonaws.com/brianfoo_art/hollywood/146.jpg,m,w,"He is of English, Irish, and Scottish origin",http://www.imdb.com/name/nm0000146/bio,0,https://cbsksfm2.files.wordpress.com/2011/07/hp72-fp-00629.jpg
11,Madagascar 3: Europe's Most Wanted,cast,1,Ben Stiller,1774,http://s3.amazonaws.com/brianfoo_art/hollywood/1774.jpg,m,w,"His father is of Austrian Jewish and Polish Jewish descent, and his mother was of Irish ancestry",http://www.imdb.com/name/nm0001774/bio,1,http://www.movpins.com/big/MV5BMTQ2MzU1MTE2Ml5BMl5BanBnXkFtZTcwODQzOTQyNA/still-of-ben-stiller-in-madagaskar-(2005)-large-picture.jpg
11,Madagascar 3: Europe's Most Wanted,cast,2,Chris Rock,1674,http://s3.amazonaws.com/brianfoo_art/hollywood/1674.jpg,m,b,,https://en.wikipedia.org/wiki/Chris_Rock#Personal_life,1,http://www.movpins.com/big/MV5BMTAwNzI2MDgwMjVeQTJeQWpwZ15BbWU3MDc0Mzk0MjQ/still-of-chris-rock-in-madagaskar-(2005).jpg
11,Madagascar 3: Europe's Most Wanted,cast,3,David Schwimmer,1710,http://s3.amazonaws.com/brianfoo_art/hollywood/1710.jpg,m,w,"Ashkenazi Jewish (from Ukraine, Austria, Russia, Germany, and Belarus)",http://www.imdb.com/name/nm0001710/bio,1,http://www.movpins.com/big/MV5BODUwMzg5MjE4OF5BMl5BanBnXkFtZTcwMzQzOTQyNA/still-of-david-schwimmer-in-madagascar-(2005)-large-picture.jpg
11,Madagascar 3: Europe's Most Wanted,cast,4,Jada Pinkett Smith,586,http://s3.amazonaws.com/brianfoo_art/hollywood/586.jpg,f,b,Her father is of African-American descent and her mother is of Afro-Caribbean ancestry (from Barbados and Jamaica),http://www.imdb.com/name/nm0000586/bio,1,http://www.movpins.com/big/MV5BMjIxNzA5MTQ3M15BMl5BanBnXkFtZTcwMTQzOTQyNA/still-of-jada-pinkett-smith-in-madagascar-(2005)-large-picture.jpg
